scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s016,100,5.3298,discrete_only,discrete_only,2,true,,1270.1603702925872,4.657734739216633,1.3549,27.7,1.7519,114458,1270.16,"[3.4894, 4.6577]","[3.4894, 4.6577]",4.657734739216633
s016,90,4.7968,discrete_only,discrete_only,2,true,,1270.1603702925872,4.657734739216633,1.3549,27.7,1.7528,114458,1270.16,"[3.4894, 4.6577]","[3.4894, 4.6577]",4.657734739216633
s016,80,4.2639,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,49.7,3.1460,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s016,70,3.7309,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,49.4,3.1282,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s016,60,3.1979,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,49.4,3.1301,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s016,50,2.6649,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,50.2,3.1816,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s016,40,2.1319,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,49.2,3.1167,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s016,30,1.5989,discrete_only,discrete_only,2,true,,1377.5330417187706,1.035005680470892,1.4694,48.7,3.0816,484370,1377.533,"[0.7308, 1.035]","[0.7308, 1.035]",1.035005680470892
s017,100,8.9550,discrete_only,discrete_only,2,true,,1093.079623408311,6.018215361371381,1.1972,17.8,1.1351,13222,1093.08,"[5.767, 6.0182]","[5.767, 6.0182]",6.018215361371381
s017,90,8.0595,discrete_only,discrete_only,2,true,,1093.079623408311,6.018215361371381,1.1972,17.6,1.1265,13222,1093.08,"[5.767, 6.0182]","[5.767, 6.0182]",6.018215361371381
