node,parent,agent,x,y,heading,dist,unc,c11,c12,c22,on_solution
129,53,2,-67.671357,-112.856124,4.887074,1350.000000,10.932207,87.523023,-3.789827,163.359956,false
130,22,1,900.601910,-72.424680,1.337577,1500.000000,5.149137,12.091355,10.118000,66.605050,false
130,22,2,871.767564,-641.257980,-1.408409,1500.000000,4.184323,8.387389,-5.757046,40.500484,false
131,43,1,102.684659,-92.772949,0.608519,1500.000000,11.041063,170.299340,36.674588,95.161096,false
131,43,2,861.499349,116.198824,2.209255,1500.000000,11.132844,134.165064,-28.768302,120.663266,false
132,118,1,639.884470,237.168694,-0.467003,1950.000000,4.429354,35.814860,-11.486366,14.431127,false
132,118,2,887.519765,-444.724194,-3.028443,1950.000000,2.304109,6.976845,-0.823192,4.136868,false
133,61,1,980.623597,231.603350,-0.844786,1500.000000,7.939655,60.536141,-19.373324,71.843550,false
133,61,2,835.286434,-265.062743,-1.948035,1500.000000,3.796290,18.943334,-2.290386,11.241228,false
134,42,1,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
134,42,2,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
135,69,1,943.793829,-268.829067,-1.149085,1350.000000,8.101828,79.840669,3.187731,54.091733,false
135,69,2,942.929998,-297.293110,-1.322566,1350.000000,7.729502,72.096505,2.895173,49.626144,false
136,46,1,992.227464,-230.760247,1.772470,1500.000000,5.928212,29.103367,-6.738657,43.997956,false
136,46,2,859.927755,75.349652,2.059573,1500.000000,5.373320,21.076835,-16.001081,51.699388,false
137,92,1,551.412467,-207.869933,-0.093115,750.000000,2.308651,6.536155,-0.595574,4.400481,false
