scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,clgbt_iterations,clgbt_tree_size,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s030,100,8.7501,clgbt,clgbt,2,true,,1148.288533772767,7.431014367535598,1.4048,13.0,0.8472,91,74,1148.289,"[7.3709, 7.431]","[7.3709, 7.431]",7.431014367535598,1.0000906248974761e-9,seed_only
s030,90,7.8751,clgbt,clgbt,2,true,,1148.288533772767,7.431014367535598,1.4048,12.9,0.8429,91,74,1148.289,"[7.3709, 7.431]","[7.3709, 7.431]",7.431014367535598,1.0000906248974761e-9,seed_only
s030,80,7.0001,clgbt,clgbt,2,true,,1921.3688778807737,6.500063285376001,2.3505,14.5,0.9435,3951,3029,1921.369,"[6.4999, 6.5001]","[6.2309, 6.6191]",6.619147765408169,0.0025121437049401563,optimized
s030,70,6.1250,clgbt,clgbt,2,true,,1976.5967722352398,5.500405241082545,2.4181,14.1,0.9198,5359,4046,1976.597,"[5.4999, 5.5004]","[5.6178, 5.9699]",5.969912479199454,0.0006531868475007363,optimized
s030,60,5.2500,clgbt,clgbt,2,false,recovery_failed,1275.863014764102,4.955147629488484,,463.6,30.2094,165735,98918,1275.863,"[3.0758, 4.9551]","[3.4509, 5.2464]",5.246383565085832,-0.16926347605042474,recovery_failed
s030,50,4.3750,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s030,40,3.5000,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s030,30,2.6250,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s031,100,8.7490,clgbt,clgbt,2,true,,1102.7456090284836,8.579785768690275,1.1940,13.0,0.8291,14,11,1102.746,"[8.2291, 8.5798]","[8.2291, 8.5798]",8.579785768690275,1.000090638775264e-9,seed_only
s031,90,7.8741,clgbt,clgbt,2,true,,1685.8312946908661,6.736090091180247,1.8253,15.3,0.9743,4936,3846,1685.831,"[0.5942, 6.7361]","[0.7917, 6.7714]",6.771446611703875,1.666392947935469e-8,optimized
s031,80,6.9992,clgbt,clgbt,2,true,,1688.2519614590367,6.668964474437288,1.8280,15.7,0.9998,4936,3846,1688.252,"[0.5923, 6.669]","[0.7917, 6.7714]",6.771446611703875,2.0652412582172763e-8,optimized
s031,70,6.1243,clgbt,clgbt,2,true,,1280.3962610789938,5.857351148200911,1.3864,654.8,41.6599,178706,112884,1280.396,"[0.5441, 5.8574]","[0.7626, 5.8574]",5.857351148200911,1.000090638775264e-9,seed_only
s031,60,5.2494,clgbt,clgbt,2,false,no_solution,null,null,,934.9,59.4759,200000,125096,null,[],[],null,,
s031,50,4.3745,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s031,40,3.4996,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s031,30,2.6247,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s032,100,7.4877,clgbt,clgbt,2,true,,980.6801066850006,7.487679188955451,1.0175,14.4,0.9207,1254,1015,980.68,"[4.9194, 7.4877]","[9.7971, 7.0306]",7.030639967119045,1.8350445492032463e-6,optimized
s032,90,6.7389,clgbt,clgbt,2,true,,1891.0525965581041,5.489667655589933,1.9621,13.5,0.8617,1985,1559,1891.053,"[5.3861, 5.4897]","[5.3861, 5.4897]",5.489667655589933,1.00009063183637e-9,seed_only
s032,80,5.9901,clgbt,clgbt,2,true,,1891.0525965581041,5.489667655589933,1.9621,13.5,0.8610,1985,1559,1891.053,"[5.3861, 5.4897]","[5.3861, 5.4897]",5.489667655589933,1.00009063183637e-9,seed_only
s032,70,5.2414,clgbt,clgbt,2,true,,2438.66213354325,3.391240471438615,2.5303,56.3,3.5982,58198,38839,2438.662,"[0.6015, 3.3912]","[0.848, 3.9093]",3.9092623520019263,1.0000906040807944e-9,seed_only
s032,60,4.4926,clgbt,clgbt,2,true,,2438.66213354325,3.391240471438615,2.5303,56.2,3.5895,58198,38839,2438.662,"[0.6015, 3.3912]","[0.848, 3.9093]",3.9092623520019263,1.0000906040807944e-9,seed_only
s032,50,3.7438,clgbt,clgbt,2,false,no_solution,null,null,,874.5,55.8956,200000,122430,null,[],[],null,,
s032,40,2.9951,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s032,30,2.2463,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s033,100,5.6674,clgbt,clgbt,2,true,,1038.0014660107345,5.515925665774315,1.3857,13.0,0.8306,32,26,1038.001,"[5.2304, 5.5159]","[5.2304, 5.5159]",5.515925665774315,1.0000906214280292e-9,seed_only
s033,90,5.1006,clgbt,clgbt,2,true,,1234.8107879676188,3.0740615000349023,1.6485,14.2,0.9101,741,575,1234.811,"[0.8258, 3.0741]","[0.9235, 3.5488]",3.54883874477488,8.720825367403151e-9,optimized
s033,80,4.5339,clgbt,clgbt,2,true,,1304.5845885445092,2.4066482188144693,1.7416,13.7,0.8748,741,575,1304.585,"[0.6809, 2.4066]","[0.9235, 3.5488]",3.54883874477488,0.0038809893985684053,optimized
s033,70,3.9672,clgbt,clgbt,2,true,,1306.9593081426206,2.4192133050543028,1.7448,13.6,0.8702,741,575,1306.959,"[0.6833, 2.4192]","[0.9235, 3.5488]",3.54883874477488,0.0038068092314538747,optimized
s033,60,3.4004,clgbt,clgbt,2,true,,1111.835436767217,2.690580105846326,1.4843,13.3,0.8488,1574,1194,1111.835,"[0.7486, 2.6906]","[1.0526, 2.9456]",2.9456203370206655,1.0000906248974761e-9,seed_only
