method,pct,agent,i,x,y
hexspline_cl,70,1,142,1125.000000,-259.807621
hexspline_cl,70,1,143,1133.333333,-259.807621
hexspline_cl,70,1,144,1141.666667,-259.807621
hexspline_cl,70,1,145,1150.000000,-259.807621
hexspline_cl,70,1,146,1158.333333,-259.807621
hexspline_cl,70,1,147,1166.666667,-259.807621
hexspline_cl,70,1,148,1175.000000,-259.807621
hexspline_cl,70,1,149,1183.333333,-259.807621
hexspline_cl,70,1,150,1191.666667,-259.807621
hexspline_cl,70,1,151,1200.000000,-259.807621
hexspline_cl,70,1,152,1208.333333,-259.807621
hexspline_cl,70,1,153,1216.666667,-259.807621
hexspline_cl,70,1,154,1225.000000,-259.807621
hexspline_cl,70,1,155,1233.333333,-259.807621
hexspline_cl,70,1,156,1241.666667,-259.807621
hexspline_cl,70,1,157,1250.000000,-259.807621
hexspline_cl,70,1,158,1258.333333,-259.807621
hexspline_cl,70,1,159,1266.666667,-259.807621
hexspline_cl,70,1,160,1275.000000,-259.807621
hexspline_cl,70,1,161,1283.333333,-259.807621
hexspline_cl,70,1,162,1291.666667,-259.807621
hexspline_cl,70,1,163,1300.000000,-259.807621
hexspline_cl,70,1,164,1308.333333,-259.807621
hexspline_cl,70,1,165,1316.666667,-259.807621
hexspline_cl,70,1,166,1325.000000,-259.807621
hexspline_cl,70,1,167,1333.333333,-259.807621
hexspline_cl,70,1,168,1341.666667,-259.807621
hexspline_cl,70,1,169,1350.000000,-259.807621
hexspline_cl,70,1,170,1358.330922,-259.795092
hexspline_cl,70,1,171,1366.647377,-259.707387
hexspline_cl,70,1,172,1374.934896,-259.469330
hexspline_cl,70,1,173,1383.179012,-259.005746
hexspline_cl,70,1,174,1391.365258,-258.241458
hexspline_cl,70,1,175,1399.479167,-257.101292
hexspline_cl,70,1,176,1407.506269,-255.510070
hexspline_cl,70,1,177,1415.432099,-253.392618
hexspline_cl,70,1,178,1423.242188,-250.673759
hexspline_cl,70,1,179,1430.922068,-247.278318
